pokemon_1,type_1,hp_1,attack_1,defense_1,speed_1,pokemon_2,type_2,hp_2,attack_2,defense_2,speed_2,type_mult_1_vs_2,type_mult_2_vs_1,hp_diff,attack_diff,defense_diff,speed_diff,stat_total_diff,turns,winner
Geodude,Rock,60,30,35,10,Nidoran-f,Poison,60,17,18,17,1.0,0.5,0,13,17,-7,23,3,1
Ivysaur,Grass,66,23,22,25,Onix,Rock,60,17,50,29,2.0,1.0,6,6,-28,-4,-20,4,1
Voltorb,Electric,60,15,17,42,Arcanine,Fire,99,41,28,39,1.0,1.0,-39,-26,-11,3,-73,2,0
Wigglytuff,Normal,154,26,15,18,Wartortle,Water,64,23,28,24,1.0,1.0,90,3,-13,-6,74,5,1
Machamp,Fighting,99,49,28,23,Rhyhorn,Ground,88,32,33,10,1.0,1.0,11,17,-5,13,36,4,1
Drowzee,Psychic,66,18,15,17,Metapod,Bug,60,15,19,12,1.0,2.0,6,3,-4,5,10,2,0
Weedle,Bug,60,15,12,21,Beedrill,Bug,71,34,14,31,1.0,1.0,-11,-19,-2,-10,-42,2,0
Lickitung,Normal,99,20,26,12,Exeggutor,Grass,104,36,29,23,1.0,1.0,-5,-16,-3,-11,-35,5,0
Ninetales,Fire,80,28,26,42,Pinsir,Bug,71,47,35,35,2.0,0.5,9,-19,-9,7,-12,3,1
Beedrill,Bug,71,34,14,31,Psyduck,Water,60,19,16,23,1.0,1.0,11,15,-2,8,32,2,1
Dugtrio,Ground,60,38,17,50,Mr-mime,Psychic,60,17,22,37,1.0,1.0,0,21,-5,13,29,2,1
Psyduck,Water,60,19,16,23,Bellsprout,Grass,60,28,12,16,0.5,2.0,0,-9,4,7,2,2,0
Raticate,Normal,60,30,21,40,Cloyster,Water,60,36,50,29,1.0,1.0,0,-6,-29,11,-24,3,0
Alakazam,Psychic,60,19,15,50,Mankey,Fighting,60,30,12,29,2.0,0.5,0,-11,3,21,13,2,1
Weepinbell,Grass,71,34,17,23,Pidgeotto,Normal,69,22,19,29,1.0,1.0,2,12,-2,-6,6,3,1
Krabby,Water,60,39,31,21,Electabuzz,Electric,71,31,19,44,1.0,2.0,-11,8,12,-23,-14,2,0
Raichu,Electric,66,34,19,46,Beedrill,Bug,71,34,14,31,1.0,1.0,-5,0,5,15,15,2,1
Pinsir,Bug,71,47,35,35,Wigglytuff,Normal,154,26,15,18,1.0,1.0,-83,21,20,17,-25,3,1
Parasect,Bug,66,36,28,12,Persian,Normal,71,26,21,48,1.0,1.0,-5,10,7,-36,-24,3,1
Cloyster,Water,60,36,50,29,Wigglytuff,Normal,154,26,15,18,1.0,1.0,-94,10,35,11,-38,5,1
Charmeleon,Fire,63,24,20,33,Snorlax,Normal,176,41,22,12,1.0,1.0,-113,-17,-2,21,-111,2,0
Geodude,Rock,60,30,35,10,Cloyster,Water,60,36,50,29,1.0,2.0,0,-6,-15,-19,-40,2,0
Victreebel,Grass,88,39,22,29,Aerodactyl,Rock,88,39,22,54,2.0,1.0,0,0,0,-25,-25,2,1
Slowpoke,Water,99,24,22,10,Parasect,Bug,66,36,28,12,1.0,1.0,33,-12,-6,-2,13,4,0
Golduck,Water,88,31,27,35,Persian,Normal,71,26,21,48,1.0,1.0,17,5,6,-13,15,3,1
